wavelength,k_ice_pg
244.34863105360068, 0.6615503033626468
250.52171900626865, 0.6248415489017516
256.63443446062206, 0.6246967973669637
262.76727408108025, 0.612826976641233
267.6976947767727, 0.5899236537945308
273.85065856333574, 0.5678499886560728
277.53841200205267, 0.5571119382920696
282.50908102995487, 0.5163436406856731
288.6821689826228, 0.48769225646435155
294.85525693529075, 0.46063070845503057
297.4009639475565, 0.41894664734961545
304.8569674894096, 0.37381202739124453
308.60509342644116, 0.3464732919357812
314.798305545214, 0.321104214594218
318.52630731614056, 0.3033145762803816
324.6792711027037, 0.2919652019242919
328.3871487075255, 0.2810665432636797
334.56023666019337, 0.2654704462300987
337.126067838564, 0.23691427415178776
344.5418230482075, 0.2195570298922752
349.5728645744242, 0.19224336642495765
354.52340943622147, 0.18158439125587317
360.77699405330895, 0.158987289764578
364.58549248865506, 0.13921516484877305
369.57628568266205, 0.12660537083183004
374.587203042774, 0.11297619125366377
379.5377479045713, 0.10671220181327595
383.2858738416027, 0.09890780697985443
389.45896179427075, 0.0934195132216415
395.6119255808337, 0.0899239574171094
403.0880532887919, 0.07872980553680152
414.231810269362, 0.0689195723052573
425.37556724993215, 0.060331756370454695
434.0339897165512, 0.05485941596478439
441.5302415906142, 0.04712855924817266
444.05582443677486, 0.043683837128728246
455.1190847529257, 0.04125221854724266
464.89942947989107, 0.041236929149285693
474.61940170854166, 0.04363326131929264
486.8247084511436, 0.04444748758800775
496.5245565136895, 0.04793021308451794
503.779318394494, 0.051690621092966245
514.7419578801205, 0.05366513187006853
524.4216817765615, 0.058977332688077436
536.4659951903244, 0.06991348337739002
543.8012537355485, 0.0698940483390226
554.7638932211747, 0.07256390505156823
562.0186551019793, 0.07825697153552158
575.3458841049276, 0.08763677250231561
584.9249871708442, 0.1058847025585399
594.5845869011804, 0.11859241996952204
605.3862330579676, 0.14327936666437768
613.7629171991186, 0.16987123312181962
624.5645633559061, 0.20523270123374007
632.9814958292666, 0.2342724285813409
645.0258092430296, 0.27771350101618664
654.665284807261, 0.31699432526353855
663.1224656128312, 0.34838908344423214
675.2472756910137, 0.38283991948756596
683.6642081643744, 0.4370104625485105
695.7085215781373, 0.5180451932392535
704.1455782176027, 0.5802451015972596
713.7246812835194, 0.7010650693697353
724.6873207691458, 0.72784479276348
733.1445015747162, 0.7999297149238055
745.2089391545841, 0.9304581828793864
751.1204129478886, 1.1243566119263813
763.1446021955467, 1.3583468371937046
772.7438294275682, 1.6103739549791163
784.8485153396458, 1.8034753051489993
794.4879909038771, 2.0585655194769954
804.2079631325279, 2.1781914683572126
813.9883078594933, 2.177384160596345
822.546109495588, 2.176678011758528
834.731292072085, 2.2597194117680792
841.885433122365, 2.6792351163304415
852.7474517774672, 3.058054329703382
863.5289737681496, 3.7653270362084226
870.6227423201152, 4.7255391432030045
882.6670557338782, 5.6017945756356164
899.722286507753, 5.925674505079414
910.6648018272745, 6.269732710349675
919.1018584667399, 7.0225179983946795
928.8419548614959, 7.291106391662549
939.784470181017, 7.714444693049106
950.5257438394899, 9.86560546217783
961.3273899962774, 11.919292166773726
969.6839499713233, 14.401821888665326
980.5258444603205, 16.75261429415292
988.8622802692616, 20.629102973504757
