wavelength,k_ice_pg
200,0.6615503033626468
210,0.6615503033626468
220,0.6615503033626468
230,0.6615503033626468
240,0.6615503033626468
250,0.627943992127175
260,0.6181829046084035
270,0.5816641683974243
280,0.5369225530158981
290,0.4819151563131197
300,0.403213486303398
310,0.34075937610822515
320,0.30059629440271535
330,0.27699172925632404
340,0.23018757658679193
350,0.191323704847869
360,0.1617949296312842
370,0.1254529114903912
380,0.10574969470281335
390,0.09311214439807708
400,0.08335360797565279
410,0.07264498069369127
420,0.0644743792011626
430,0.05740899875622812
440,0.04870669171724965
450,0.04237735356618838
460,0.0412445883197108
470,0.0424944081765095
480,0.043992205552543025
490,0.045587574398104944
500,0.049731662357913285
510,0.052811044955038695
520,0.05655072818967213
530,0.06404240585486765
540,0.0699041199011549
550,0.07140369976423022
560,0.07667286196823894
570,0.08387430028212071
580,0.09650273633446446
590,0.11256115196539085
600,0.1309692385174226
610,0.1579258153451354
620,0.19028963985107397
630,0.22398580382298108
640,0.2595865612837245
650,0.29798330839267717
660,0.33679786231557857
670,0.3679305697047953
680,0.41342798202122494
690,0.47963798040485073
700,0.5496829522311307
710,0.6540861539597156
720,0.7163945253511418
730,0.7731275031161617
740,0.8741012376823479
750,1.0876066713742325
760,1.2971530085739995
770,1.538334882915272
780,1.7261288241906771
790,1.9397994565367878
800,2.126403091730185
810,2.17771337106669
820,2.1768881045297466
830,2.2274758967404216
840,2.568674142039448
850,2.9622353522031624
860,3.5338247649760812
870,4.641244778235766
880,5.407759266595847
890,5.741047658928094
900,5.934406465047648
910,6.2488297902372985
920,7.047284733914396
930,7.335908235438693
940,7.7576089681542175
950,9.760314454976843
960,11.666919227723552
970,14.470349396281394
980,16.638598135349362
990,20.629102973504764
